Acq Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm˛),Temperature Model,Amp,Diffusion Coefficient(cm˛/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s˛),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm˛/s) (I),Peak Radius(nm) (I),Peak Diameter(nm) (I),Peak Pd(nm) (I),Peak %Pd (I),Peak Pd Index (I),Peak Mw-R(kDa) (I),Peak %Intensity (I),Peak %Mass (I)
1,Acq 1,,,,829.8,25.0033,,1663290,,100,87.038,12832500,,25,0.25,1.00136,0.801002,6.60003,6.59106,Y,5,Default,Globular Proteins,0,0.185,0,Sphere,,PBS,1.333,0.905881,3119,Aqueous,0.299903,1.63575e-008,147.293,294.585,30.0484,20.4005,0.204005,398373,1.00052,12.4341,507.16,262.038,-1,,,,,Disposable Cuvette,2,2,,,,,1,1.47999e-008,162.794,325.587,83.4039,51.2329,0.262481,503464,94.0403,75.5745
1,Acq 1,,,,829.8,25.0033,,1663290,,100,87.038,12832500,,25,0.25,1.00136,0.801002,6.60003,6.59106,Y,5,Default,Globular Proteins,0,0.185,0,Sphere,,PBS,1.333,0.905881,3119,Aqueous,0.299903,1.63575e-008,147.293,294.585,30.0484,20.4005,0.204005,398373,1.00052,12.4341,507.16,262.038,-1,,,,,Disposable Cuvette,2,2,,,,,2,2.18005e-009,1105.18,2210.35,320.29,28.981,0.0839896,44483500,5.95973,24.4255
2,Acq 2,,,,834.9,25.0038,,1807650,,100,87.038,13946300,,25,0.25,1.00134,0.800234,7.53523,7.52519,Y,5,Default,Globular Proteins,0,0.185,0,Sphere,,PBS,1.333,0.90587,3119,Aqueous,0.2974,1.51234e-008,159.312,318.624,7.95925e-006,4.99601e-006,4.99601e-008,478630,0.999453,17.7227,484.153,0.104902,-1,,,,,Disposable Cuvette,1,1,,,,,1,1.49315e-008,161.359,322.718,26.1828,16.2264,0.0263297,493142,100,100
3,Acq 3,,,,839.9,25.0043,,1674520,,100,87.038,12919200,,25,0.25,1.00133,0.799109,8.44499,8.43381,Y,5,Default,Globular Proteins,0,0.185,0,Sphere,,PBS,1.333,0.90586,3119,Aqueous,0.290094,1.70701e-008,141.144,282.287,10.6622,7.55413,0.0755413,360542,1.00281,11.6922,546.423,145.78,0.00231705,,,,,Disposable Cuvette,2,1,,,,,1,1.72662e-008,139.541,279.081,29.9496,21.463,0.0460661,351034,100,100
4,Acq 4,,,,845,25.0048,,1678060,,100,87.038,12946500,,25,0.25,1.00134,0.79863,8.88944,8.87757,Y,5,Default,Globular Proteins,0,0.185,0,Sphere,,PBS,1.333,0.90585,3119,Aqueous,0.277102,1.78502e-008,134.975,269.95,25.0782,18.5799,0.185799,324748,0.999893,8.60398,560.805,261.545,0.0019212,,,,,Disposable Cuvette,1,1,,,,,1,1.43258e-008,168.182,336.364,90.685,53.9207,0.290745,543323,100,100
5,Acq 5,,,,850,25.0052,,1726280,,100,87.038,13318500,,25,0.25,1.00135,0.802664,7.08289,7.07332,Y,5,Default,Globular Proteins,0,0.185,0,Sphere,,PBS,1.333,0.905841,3119,Aqueous,0.308068,1.71151e-008,140.773,281.545,7.29677,5.18337,0.0518337,358329,0.999032,9.96297,547.913,120.93,0.0020855,,,,,Disposable Cuvette,1,1,,,,,1,1.63476e-008,147.381,294.762,31.4076,21.3104,0.0454135,398932,100,100
6,Acq 6,,,,855.1,25.0056,,1772490,,100,87.038,13675000,,25,0.25,1.00136,0.803715,6.66978,6.66074,Y,5,Default,Globular Proteins,0,0.185,0,Sphere,,PBS,1.333,0.905833,3119,Aqueous,0.313339,1.69343e-008,142.276,284.551,3.02032e-005,2.12286e-005,2.12286e-007,367344,1.00136,12.3074,542.127,0.242132,0.00239554,,,,,Disposable Cuvette,1,1,,,,,1,1.68211e-008,143.233,286.466,27.385,19.1192,0.0365545,373154,100,100
7,Acq 7,,,,860.2,25.0059,,1922300,,100,87.038,14830800,,25,0.25,1.00136,0.804655,6.59074,6.58179,Y,5,Default,Globular Proteins,0,0.185,0,Sphere,,PBS,1.333,0.905827,3119,Aqueous,0.317834,1.71097e-008,140.817,281.634,4.67328,3.31869,0.0331869,358592,1.0009,10.0007,547.743,96.7277,0.00207888,,,,,Disposable Cuvette,1,1,,,,,1,1.63447e-008,147.407,294.815,34.076,23.1169,0.0534391,399098,100,100
8,Acq 8,,,,865.2,25.006,,1966170,,100,87.038,15169300,,25,0.25,1.00135,0.803936,6.55057,6.54172,Y,5,Default,Globular Proteins,0,0.185,0,Sphere,,PBS,1.333,0.905825,3119,Aqueous,0.31132,1.63528e-008,147.334,294.669,16.1923,10.9902,0.109902,398637,0.998968,11.5331,522.914,169.981,0.00224302,,,,,Disposable Cuvette,1,1,,,,,1,1.48014e-008,162.777,325.554,55.8578,34.3155,0.117755,503345,100,100
9,Acq 9,,,,870.3,25.006,,1768690,,100,87.038,13645700,,25,0.25,1.00135,0.803947,6.47588,6.46713,Y,5,Default,Globular Proteins,0,0.185,0,Sphere,,PBS,1.333,0.905825,3119,Aqueous,0.307096,1.7431e-008,138.221,276.442,26.2112,18.9632,0.189632,343317,1.00187,11.5757,546.421,260.019,0.00219567,,,,,Disposable Cuvette,2,1,,,,,1,1.67309e-008,144.005,288.01,44.8754,31.1623,0.0971091,377878,100,100
10,Acq 10,,,,875.3,25.0059,,1734420,,100,87.038,13381300,,25,0.25,1.00135,0.804575,6.48879,6.48002,Y,5,Default,Globular Proteins,0,0.185,0,Sphere,,PBS,1.333,0.905827,3119,Aqueous,0.306768,1.76698e-008,136.353,272.706,2.54355e-006,1.86541e-006,1.86541e-008,332559,0.999101,16.2413,565.674,0.0748934,0.00272092,,,,,Disposable Cuvette,1,1,,,,,1,1.77064e-008,136.071,272.143,2.4176,1.77672,0.000315672,330953,100,100
